FID,OperatorNa,Shape_Leng
2446,Kinder Morgan Texas Pipeline Co,0.012355
2447,ONEOK Westex Pipeline,0.432384
2448,Kinder Morgan Texas Pipeline Co,0.012949
2449,El Paso Texas Pipeline Co,0.141962
2450,ONEOK Westex Pipeline,0.441856
2451,Kinder Morgan Texas Pipeline Co,0.017536
2452,El Paso Texas Pipeline Co,0.245854
2453,ONEOK Westex Pipeline,0.470784
2454,El Paso Texas Pipeline Co,0.132867
2455,Kinder Morgan Texas Pipeline Co,0.004926
2456,ONEOK Westex Pipeline,0.11136
2457,El Paso Texas Pipeline Co,0.202709
2458,Kinder Morgan Texas Pipeline Co,0.027189
2459,ONEOK Westex Pipeline,0.069502
2460,ONEOK Westex Pipeline,0.107648
2461,El Paso Texas Pipeline Co,0.04148
2462,Kinder Morgan Texas Pipeline Co,0.010241
2463,Kinder Morgan Texas Pipeline Co,0.025881
2464,El Paso Texas Pipeline Co,0.069515
2465,ONEOK Westex Pipeline,0.065808
2466,El Paso Texas Pipeline Co,0.301682
2467,Kinder Morgan Texas Pipeline Co,0.009509
2468,ONEOK Westex Pipeline,0.125568
2469,Kinder Morgan Texas Pipeline Co,0.061917
2470,Transcontinental Gas PL,0.302643
2471,El Paso Texas Pipeline Co,0.235945
2472,Kinder Morgan Texas Pipeline Co,0.082622
2473,Transcontinental Gas PL,0.104483
2474,El Paso Texas Pipeline Co,0.12772
2475,Transcontinental Gas PL,0.121328
2476,Kinder Morgan Texas Pipeline Co,0.013837
2477,El Paso Texas Pipeline Co,0.282243
2478,Transcontinental Gas PL,0.083361
2479,Kinder Morgan Texas Pipeline Co,0.013141
2480,Kinder Morgan Texas Pipeline Co,0.012133
2481,Transcontinental Gas PL,0.098237
2482,El Paso Texas Pipeline Co,0.179971
2483,Kinder Morgan Texas Pipeline Co,0.008011
2484,Transcontinental Gas PL,0.092246
2485,Transcontinental Gas PL,0.140853
2486,El Paso Texas Pipeline Co,0.059329
2487,Kinder Morgan Texas Pipeline Co,0.00834
2488,Transcontinental Gas PL,0.025806
2489,El Paso Texas Pipeline Co,0.046645
2490,Kinder Morgan Texas Pipeline Co,0.026127
2491,El Paso Texas Pipeline Co,0.225636
2492,Transcontinental Gas PL,0.0482
2493,Kinder Morgan Texas Pipeline Co,0.019528
2494,El Paso Texas Pipeline Co,0.111423
2495,Kinder Morgan Texas Pipeline Co,0.025723
2496,Transcontinental Gas PL,0.0167
2497,El Paso Texas Pipeline Co,0.03337
2498,Kinder Morgan Texas Pipeline Co,0.021325
2499,Transcontinental Gas PL,0.021771
2500,El Paso Texas Pipeline Co,0.042768
2501,Kinder Morgan Texas Pipeline Co,0.009731
2502,Transcontinental Gas PL,0.021893
2503,El Paso Texas Pipeline Co,0.009437
2504,Transcontinental Gas PL,0.023888
2505,Kinder Morgan Texas Pipeline Co,0.024901
2506,El Paso Texas Pipeline Co,0.045511
2507,Transcontinental Gas PL,0.020557
2508,Kinder Morgan Texas Pipeline Co,0.008597
2509,El Paso Texas Pipeline Co,0.043704
2510,Transcontinental Gas PL,0.005346
2511,El Paso Texas Pipeline Co,0.022244
2512,Kinder Morgan Texas Pipeline Co,0.005382
2513,Transcontinental Gas PL,0.045016
2514,Kinder Morgan Texas Pipeline Co,0.009957
2515,Kinder Morgan Texas Pipeline Co,0.003895
2516,Transcontinental Gas PL,0.041107
2517,Kinder Morgan Texas Pipeline Co,0.002964
2518,Transcontinental Gas PL,0.016858
2519,Kinder Morgan Texas Pipeline Co,0.007977
2520,Transcontinental Gas PL,0.031287
2521,Kinder Morgan Texas Pipeline Co,0.019609
2522,Transcontinental Gas PL,0.016905
2523,Kinder Morgan Texas Pipeline Co,0.004133
2524,Transcontinental Gas PL,0.0154
2525,Kinder Morgan Texas Pipeline Co,0.044303
2526,Transcontinental Gas PL,0.017018
2527,Kinder Morgan Texas Pipeline Co,0.045208
2528,Transcontinental Gas PL,0.017868
2529,Kinder Morgan Texas Pipeline Co,0.020383
2530,Transcontinental Gas PL,0.010283
2531,Kinder Morgan Texas Pipeline Co,0.013153
2532,Kinder Morgan Texas Pipeline Co,0.226839
2533,Kinder Morgan Texas Pipeline Co,0.03092
2534,Kinder Morgan Texas Pipeline Co,0.100498
2535,Kinder Morgan Texas Pipeline Co,0.012669
2536,Kinder Morgan Texas Pipeline Co,0.099221
2537,Kinder Morgan Texas Pipeline Co,0.009315
2538,Kinder Morgan Texas Pipeline Co,0.154748
2539,Kinder Morgan Texas Pipeline Co,0.010136
2540,Kinder Morgan Texas Pipeline Co,0.090115
2541,Kinder Morgan Texas Pipeline Co,0.007606
2542,Kinder Morgan Texas Pipeline Co,0.108969
2543,Kinder Morgan Texas Pipeline Co,0.01771
2544,Kinder Morgan Texas Pipeline Co,0.219072
2545,Kinder Morgan Texas Pipeline Co,0.008296
2546,Kinder Morgan Texas Pipeline Co,0.276231
2547,Kinder Morgan Texas Pipeline Co,0.031108
2548,Kinder Morgan Texas Pipeline Co,0.018587
2549,Kinder Morgan Texas Pipeline Co,0.048787
2550,Kinder Morgan Texas Pipeline Co,0.113619
2551,Kinder Morgan Texas Pipeline Co,0.052319
2552,Kinder Morgan Texas Pipeline Co,0.28712
2553,Kinder Morgan Texas Pipeline Co,0.09963
2554,Kinder Morgan Texas Pipeline Co,0.146313
2555,Kinder Morgan Texas Pipeline Co,0.093076
2556,Kinder Morgan Texas Pipeline Co,0.039164
2557,Kinder Morgan Texas Pipeline Co,0.204379
2558,Kinder Morgan Texas Pipeline Co,0.055754
2559,Kinder Morgan Texas Pipeline Co,0.142245
2560,Kinder Morgan Texas Pipeline Co,0.048409
2561,Kinder Morgan Texas Pipeline Co,0.043737
2562,Kinder Morgan Texas Pipeline Co,0.066698
2563,Kinder Morgan Texas Pipeline Co,0.084533
2564,Kinder Morgan Texas Pipeline Co,0.066438
2565,Kinder Morgan Texas Pipeline Co,0.045623
2566,Kinder Morgan Texas Pipeline Co,0.022029
2567,Kinder Morgan Texas Pipeline Co,0.055022
2568,Kinder Morgan Texas Pipeline Co,0.018852
2569,Kinder Morgan Texas Pipeline Co,0.018337
2570,Kinder Morgan Texas Pipeline Co,0.017744
2571,Kinder Morgan Texas Pipeline Co,0.01352
2572,Kinder Morgan Texas Pipeline Co,0.078918
2573,Kinder Morgan Texas Pipeline Co,0.030859
2574,Kinder Morgan Texas Pipeline Co,0.030855
2575,Kinder Morgan Texas Pipeline Co,0.01816
2576,Kinder Morgan Texas Pipeline Co,0.014184
2577,Kinder Morgan Texas Pipeline Co,0.013274
2578,Kinder Morgan Texas Pipeline Co,0.006338
2579,Kinder Morgan Texas Pipeline Co,0.013958
2580,Kinder Morgan Texas Pipeline Co,0.007825
2581,Kinder Morgan Texas Pipeline Co,0.00797
2582,Kinder Morgan Texas Pipeline Co,0.004548
2583,Kinder Morgan Texas Pipeline Co,0.004241
2584,Kinder Morgan Texas Pipeline Co,0.095031
2585,Kinder Morgan Texas Pipeline Co,0.062915
2586,Kinder Morgan Texas Pipeline Co,0.044817
2587,Kinder Morgan Texas Pipeline Co,0.052717
2588,Kinder Morgan Texas Pipeline Co,0.097858
2589,Kinder Morgan Texas Pipeline Co,0.004505
2590,Kinder Morgan Texas Pipeline Co,0.027914
2591,Kinder Morgan Texas Pipeline Co,0.00625
2592,Kinder Morgan Texas Pipeline Co,0.004634
2593,Kinder Morgan Texas Pipeline Co,0.017309
2594,Kinder Morgan Texas Pipeline Co,0.010586
2595,Kinder Morgan Texas Pipeline Co,0.015375
2596,Kinder Morgan Texas Pipeline Co,0.013276
2597,Kinder Morgan Texas Pipeline Co,0.002703
2598,Kinder Morgan Texas Pipeline Co,0.003734
2599,Kinder Morgan Texas Pipeline Co,0.018506
2600,Kinder Morgan Texas Pipeline Co,0.005049
2601,Kinder Morgan Texas Pipeline Co,0.051176
2602,Kinder Morgan Texas Pipeline Co,0.095075
