X,Y,OBJECTID,TNF_LS_NO,SLIDE_NO,INVENTORY,CONFID_DAT,YR_INT_TYP,YR_OCCURANCE,LATEST_YEAR_NOTSEEN,FIRST_YEAR_SEEN,TREATMENT,RD_RELATED,STRM_IMPAC,PRED_COVER,COVER_SPP,COVER_PERCENT,FAIL_TYPE,VEG_CLASS,EXAMINER,SLOPE_PER,SLOPE_SHA,BDRK_F_ZON,PM_F_ZONE,LANDSLIDE_NAME,LANDWEHR_N,GROUPED_SL,RECURRANCE,NUMBER_
-132.024709922145,54.7290300661901,36297,6232,C1695,T10,E00001960,2006P,1960,1948,1971,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,CO,Dennis Landwehr,,,,,,,,,
-132.038725797299,54.7519055672339,36298,6233,C1696,T10,E00001991,2005P,1991,1985,1997,,N,N,BATR,ALRU2,60,SOAR-DEAV-FLOW,UN,Dennis Landwehr,,,,,,,,,
-132.02740482573,54.8132894908224,36299,6234,C1697,T10,E00002001,2005P,2001,1997,2005,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.007531371037,54.8384509046069,36300,6235,C1698,T10,E00002001,2005P,2001,1997,2005,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.012360181824,54.84613765193,36301,6236,C1699,T10,E00001960,2005P,1960,1948,1971,,N,N,BEDR,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.030943579164,54.8466560403251,36302,6237,C1700,T10,E000-1948,2005P,-1948,,1948,,N,N,BEDR,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-131.974245676299,54.8052919332664,36303,6241,C1704,T10,E00002001,2005P,2001,1997,2005,,N,N,BARE,CON1,5,SOAR-DEAV-FLOW,UN,Dennis Landwehr,,,,,,,,,
-132.025315105547,54.722638657104,36304,6243,C1716,T10,E00001978,2005P,1978,1971,1985,,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.02111590219,54.7229303016911,36305,6244,C1717,T10,E00001978,2005P,1978,1971,1985,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.106511222077,54.7305428847518,36306,6245,C1718,T10,E000-1948,2005P,-1948,,1948,,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Dennis Landwehr,,,,,,,,,
-133.174942735296,55.1389769934043,36307,6381,C1810,T10,E000-1929,2006P,-1929,,1929,N,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-133.177561379371,55.140817359025,36308,6382,C1811,T20,E00002012,2019P,2012,2006,2019,N,N,N,BARE,,0,SOAR-DEAV-FLOW,AL,Dennis Landwehr,,,,,,,,-1929,
-132.973074412949,54.9532630306652,36309,6421,C1850,T10,E00001960,2008P,1960,1948,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-133.109464381812,54.9537137384217,36310,6422,C1851,T10,E00001960,2008P,1960,1948,1972,N,N,N,BEDR,CON1,40,TRZO-DEFL-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.948970956401,54.934598376125,36311,6423,C1852,T10,E00001978,2008P,1978,1972,1985,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-133.03629889017,54.897755457939,36312,6425,C1854,T10,E000-1929,2008P,-1929,,1929,N,N,N,BEDR,ALRU2,40,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-133.002238480388,54.8549784068761,36313,6426,C1855,T10,E00001938,2008P,1938,1929,1948,N,N,N,BATR,ALRU2,100,TRZO-DEFL-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.990486008935,54.8356020275908,36314,6427,C1856,T10,E00001960,2008P,1960,1948,1971,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.963881053282,54.8029111334306,36315,6428,C1857,T10,E00001960,2008P,1960,1948,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.959495277888,54.8007256820535,36316,6429,C1858,T10,E00001991,2008P,1991,1985,1997,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.956818670936,54.7991506084343,36317,6430,C1859,T10,E00001960,2008P,1960,1948,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.824698515303,54.8031373569885,36318,6431,C1860,T10,E00001960,2006P,1960,1948,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.81149180381,54.80063080485,36319,6432,C1861,T10,E00002001,2006P,2001,1997,2006,N,N,N,BARE,ALRU2,10,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.806794603774,54.7993827815129,36320,6433,C1862,T10,E00001938,2006P,1938,1929,1948,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.935842254266,54.798186243385,36321,6434,C1863,T10,E00001960,2008P,1960,1948,1972,N,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.938022670263,54.7976198520802,36322,6435,C1864,T10,E00001978,2008P,1978,1972,1985,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.940438148751,54.795785858746,36323,6436,C1865,T10,E00001960,2008P,1960,1948,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.94840905469,54.7959716566253,36324,6437,C1866,T10,E00001960,2008P,1960,1948,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.949546071818,54.7959835024655,36325,6438,C1867,T10,E00001938,2008P,1938,1929,1948,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.950271423051,54.7963505713625,36326,6439,C1868,T10,E00001978,2008P,1978,1972,1985,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,Yes,
